OBJECTID *,IN_FID,NEAR_FID,NEAR_DIST,name_chk,dir_chk,Sensor_ID,MHN_ID
794,878,345,19.4158,100,pass,IL-TESTTSC-EISENHOWER-E-3003,11623-20217-1
795,879,325,19.755175,100,pass,IL-TESTTSC-I_290-W-4107,11425-20188-1
796,880,473,8.303654,100,pass,IL-TESTTSC-I_80-E-35037,10529-20491-1
797,883,361,4.333282,100,pass,IL-TESTTSC-STEVENSON-S-6132,12048-20304-1
798,884,1756,18.35525,100,pass,IL-TESTTSC-DAN_RYAN-N-5210,15729-15707-1
799,885,229,3.412531,100,pass,IL-TESTTSC-I_57-S-9120,14668-14566-1
800,886,673,2.153736,100,pass,IL-TESTTSC-EDENS-N-1111,13646-13462-1
801,887,880,15.741461,100,pass,IL-TESTTSC-BISHOP_FORD-S-7109,16211-20866-1
802,888,1050,13.819292,100,pass,IL-TESTTSC-STEVENSON-S-6112,14404-14313-1
803,889,822,10.632108,100,pass,IL-TESTTSC-DAN_RYAN_EXPRESS-S-5107,15283-20805-1
804,890,175,5.199538,50,fail,IL-TESTTSC-KENNEDY_REVERSIBLE-E-2207,21458-21414-1
805,891,1155,15.498397,100,pass,IL-TESTTSC-EISENHOWER-W-3123,21070-12606-1
806,892,546,8.868833,100,pass,IL-TESTTSC-I_80-W-35112,20459-20471-1
807,893,1042,8.390027,100,pass,IL-TESTTSC-EISENHOWER-W-3113,14074-21048-1
808,895,439,16.969641,100,fail,IL-TESTTSC-ROUTE_53-N-11103,20110-9952-1
809,896,1320,2.051716,100,pass,IL-TESTTSC-ROUTE_53_I_355_CONNECTOR-S-24004,9919-21668-1
810,898,1145,10.695671,100,pass,IL-TESTTSC-STEVENSON-N-6034,21127-21126-1
811,899,312,20.556012,100,pass,IL-TESTTSC-STEVENSON-N-6020,11153-20321-1
812,900,1745,19.329786,29,fail,IL-TESTTSC-DAN_RYAN-S-5151,15639-15638-1
813,901,1202,0.410381,100,pass,IL-TESTTSC-BISHOP_FORD-S-7117,16357-21199-1
814,902,889,6.146618,100,pass,IL-TESTTSC-BISHOP_FORD-N-7018,16274-16215-1
815,903,1731,11.152039,100,pass,IL-TESTTSC-I_80-W-35102,14643-14440-1
816,904,893,6.347338,100,pass,IL-TESTTSC-BISHOP_FORD-N-7014,16370-20874-1
817,906,816,14.227773,100,pass,IL-TESTTSC-I_57-S-9110,14975-14977-1
818,907,1186,4.631343,100,pass,IL-TESTTSC-BISHOP_FORD-S-7118,21207-21209-1
819,908,111,4.576117,100,pass,IL-TESTTSC-KENNEDY-E-2025,21391-21395-1
820,910,311,7.07149,100,pass,IL-TESTTSC-I_290-W-4112,11145-11106-1
821,911,36,12.831124,22,pass,IL-TESTTSC-LAKE_SHORE_DRIVE_NORTH-N-10313,20054-20052-1
822,912,830,16.726993,100,pass,IL-TESTTSC-DAN_RYAN-S-5310,15632-15662-1
823,913,140,8.846633,100,pass,IL-TESTTSC-KENNEDY-E-2037,21479-21483-1
824,914,1132,13.373345,100,pass,IL-TESTTSC-I_55-N-59984,21231-8463-1
825,915,158,3.625111,100,pass,IL-TESTTSC-KENNEDY-E-2030,21426-21428-1
826,916,1018,10.459346,100,pass,IL-TESTTSC-EISENHOWER-E-3009,12672-12827-1
827,917,708,14.160836,100,pass,IL-TESTTSC-EDENS-S-1033,20683-13645-1
828,919,260,23.120137,100,fail,IL-TESTTSC-ROUTE_53-S-11010,9921-20094-1
829,920,428,24.139822,100,fail,IL-TESTTSC-ROUTE_53-N-11110,20072-10380-1
830,921,1016,25.630409,100,pass,IL-TESTTSC-I_55-N-6014,10393-21143-1
831,922,916,13.383807,100,pass,IL-TESTTSC-I_57-N-9030,20839-15460-1
832,923,1007,22.918955,100,pass,IL-TESTTSC-I_55-N-6010,10040-21157-1
833,924,821,21.420907,100,pass,IL-TESTTSC-I_57-S-9108,15043-14971-1
834,925,1728,38.035026,100,pass,IL-TESTTSC-EDENS-N-1130,13092-13056-1
835,926,621,28.737546,100,pass,IL-TESTTSC-STEVENSON-S-6130,20289-12048-1
836,927,1075,10.956183,100,pass,IL-TESTTSC-BISHOP_FORD-N-7009,16364-21213-1
837,928,1030,11.446708,100,pass,IL-TESTTSC-EISENHOWER-W-3117,13515-21072-1
838,929,74,7.954446,22,pass,IL-TESTTSC-LAKE_SHORE_DRIVE_SOUTH-N-10012,21294-21288-1
839,930,1069,14.802186,100,pass,IL-TESTTSC-DAN_RYAN_EXPRESS-S-5104,15275-15274-1
840,931,1320,4.800492,100,pass,IL-TESTTSC-ROUTE_53_I_355_CONNECTOR-S-24005,9919-21668-1
841,934,47,10.013418,22,pass,IL-TESTTSC-LAKE_SHORE_DRIVE_NORTH-N-10312,19902-20054-1
842,935,654,2.263342,100,pass,IL-TESTTSC-EDENS-S-1006,13045-13076-1
843,936,706,10.310841,100,pass,IL-TESTTSC-EDENS-S-1030,20663-20670-1
844,937,1749,8.279386,100,pass,IL-TESTTSC-DAN_RYAN-S-5306,15655-15623-1
845,938,513,15.097625,100,pass,IL-TESTTSC-I_290-W-4105,20196-20194-1
846,939,1396,12.321731,100,pass,IL-TESTTSC-NORTHWEST_TOLL-E-91050,12182-21632-1
847,940,95,3.164203,50,fail,IL-TESTTSC-KENNEDY_REVERSIBLE-W-2308,21361-21405-1
848,941,51,0.217394,22,pass,IL-TESTTSC-LAKE_SHORE_DRIVE_SOUTH-N-10007,21308-21307-1
849,942,1474,15.555977,100,pass,IL-TESTTSC-KENNEDY-E-2009,21630-12644-1
